dateTime,Device,Metric,Value,RAG,
26/01/2020 16:00,A4114,PM2.5,3.64,,
26/01/2020 16:00,A428,PM2.5,11.139999,,
26/01/2020 16:00,A4600,PM2.5,0.12,,
26/01/2020 16:00,B4098,PM2.5,0.91,,
26/01/2020 16:00,B4106,PM2.5,2.24,,
26/01/2020 16:30,A4114,PM2.5,9.845,,
26/01/2020 16:30,A428,PM2.5,12.07,,
26/01/2020 16:30,A4600,PM2.5,0.2,,
26/01/2020 16:30,B4098,PM2.5,3.085,,
26/01/2020 16:30,B4106,PM2.5,4.62,,
26/01/2020 17:00,A4114,PM2.5,2.61,,
26/01/2020 17:00,A428,PM2.5,7.765,,
26/01/2020 17:00,A4600,PM2.5,0.205,,
26/01/2020 17:00,B4098,PM2.5,2.56,,
26/01/2020 17:00,B4106,PM2.5,8.45,,
26/01/2020 17:30,A4114,PM2.5,7.72,,
26/01/2020 17:30,A428,PM2.5,6.2,,
26/01/2020 17:30,A4600,PM2.5,0.13,,
26/01/2020 17:30,B4098,PM2.5,1.95,,
26/01/2020 17:30,B4106,PM2.5,3.56,,
26/01/2020 18:00,A4114,PM2.5,9.099999,,
26/01/2020 18:00,A428,PM2.5,4.99,,
26/01/2020 18:00,A4600,PM2.5,0.15,,
26/01/2020 18:00,B4098,PM2.5,4.405,,
26/01/2020 18:00,B4106,PM2.5,4.72,,
26/01/2020 18:30,A4114,PM2.5,9.495,,
26/01/2020 18:30,A428,PM2.5,9.17,,
26/01/2020 18:30,A4600,PM2.5,0.3,,
26/01/2020 18:30,B4098,PM2.5,10.45,,
26/01/2020 18:30,B4106,PM2.5,3.29,,
26/01/2020 19:00,A4114,PM2.5,11.91,,
26/01/2020 19:00,A428,PM2.5,16.27,,
26/01/2020 19:00,A4600,PM2.5,0.26,,
26/01/2020 19:00,B4098,PM2.5,5.71,,
26/01/2020 19:00,B4106,PM2.5,4.35,,
26/01/2020 19:30,A4114,PM2.5,24.049999,,
26/01/2020 19:30,A428,PM2.5,28.82,,
26/01/2020 19:30,A4600,PM2.5,0.69,,
26/01/2020 19:30,B4098,PM2.5,9.94,,
26/01/2020 19:30,B4106,PM2.5,11.829999,,
26/01/2020 20:00,A4114,PM2.5,41.65,,
