dateTime,apMAC,Value
15/01/2020 02:00,D8:84:66:31:D4:36,0
15/01/2020 02:00,D8:84:66:31:D4:42,671
15/01/2020 02:00,D8:84:66:31:D4:4C,256
15/01/2020 02:00,D8:84:66:31:D4:52,0
15/01/2020 02:00,D8:84:66:31:D4:76,0
15/01/2020 02:00,D8:84:66:31:D4:82,244
15/01/2020 02:00,D8:84:66:31:D4:B2,114
15/01/2020 02:00,D8:84:66:31:D4:E2,0
15/01/2020 02:00,D8:84:66:31:D5:0C,0
15/01/2020 02:00,D8:84:66:31:D5:20,0
15/01/2020 02:00,D8:84:66:31:D5:26,93
15/01/2020 02:00,D8:84:66:31:D5:34,77
15/01/2020 02:00,D8:84:66:31:D5:48,0
15/01/2020 02:00,D8:84:66:31:D5:C4,0
15/01/2020 02:00,D8:84:66:31:D5:DA,463
15/01/2020 02:00,D8:84:66:31:D6:66,260
15/01/2020 02:00,D8:84:66:31:D6:6A,0
15/01/2020 02:00,D8:84:66:31:D6:C8,0
15/01/2020 02:00,D8:84:66:31:D6:D2,0
15/01/2020 02:00,D8:84:66:31:D6:E6,89
15/01/2020 03:00,D8:84:66:0D:1B:E4,0
15/01/2020 03:00,D8:84:66:30:F2:EC,309
15/01/2020 03:00,D8:84:66:30:F7:A2,0
15/01/2020 03:00,D8:84:66:30:F7:C0,0
15/01/2020 03:00,D8:84:66:30:F8:64,0
15/01/2020 03:00,D8:84:66:30:F8:A4,0
15/01/2020 03:00,D8:84:66:30:F9:DA,479
15/01/2020 03:00,D8:84:66:31:7F:24,198
15/01/2020 03:00,D8:84:66:31:7F:36,0
15/01/2020 03:00,D8:84:66:31:7F:42,81
15/01/2020 03:00,D8:84:66:31:7F:7E,137
15/01/2020 03:00,D8:84:66:31:7F:BC,0
15/01/2020 03:00,D8:84:66:31:7F:D4,162
15/01/2020 03:00,D8:84:66:31:80:02,123
15/01/2020 03:00,D8:84:66:31:80:1E,795
15/01/2020 03:00,D8:84:66:31:80:78,19
15/01/2020 03:00,D8:84:66:31:80:7C,0
15/01/2020 03:00,D8:84:66:31:80:86,225
15/01/2020 03:00,D8:84:66:31:80:D2,617
15/01/2020 03:00,D8:84:66:31:80:E4,48
15/01/2020 03:00,D8:84:66:31:80:EC,148
15/01/2020 03:00,D8:84:66:31:80:EE,170
15/01/2020 03:00,D8:84:66:31:80:F2,92
15/01/2020 03:00,D8:84:66:31:81:42,134
15/01/2020 03:00,D8:84:66:31:81:6C,564
15/01/2020 03:00,D8:84:66:31:81:74,0
15/01/2020 03:00,D8:84:66:31:81:A4,288
15/01/2020 03:00,D8:84:66:31:82:26,1153
15/01/2020 03:00,D8:84:66:31:82:28,295
