Year,LSOA code (2021),LSOA name (2021),IoD 2025 air quality indicator score,Lower-layer Super Output Area (LSOA) 2021 local name
2023,E01009606,Coventry 005C,2.96,Little Heath Old Church Road
2023,E01009607,Coventry 004C,2.96,Bell Green - Roseberry Ave
2023,E01009608,Coventry 004D,2.96,Hall Green Road – Clarke Street
2023,E01009612,Coventry 035F,2.96,Stoke Aldermoor Village
2023,E01009651,Coventry 031D,2.96,Lower Spon Street 
2023,E01009689,Coventry 030B,2.96,"Earlsdon Hearsall Lane – Melbourne Road North, The Butts"
2023,E01009691,Coventry 030D,2.96,Earlsdon – Broomfield Road – Sovereign Road
2023,E01009710,Coventry 013C,2.95,River Sowe – Clifford Bridge  - Henley Park Industrial Estate
2023,E01009712,Coventry 018C,2.95,Wyken - Ansty Road North
2023,E01009713,Coventry 019B,2.95,Caludon Castle - Bodmin Belgrave Roads
2023,E01009715,Coventry 019C,2.95,"Clifford Bridge Road, Abbey Estate & Dorchester Road North"
2023,E01009576,Coventry 008A,2.94,Potters Green - Woodway 
2023,E01009586,Coventry 008E,2.94,Potters Green – Diana Drive
2023,E01009604,Coventry 004A,2.94,Hall Green North 
2023,E01032537,Coventry 001G,2.94,Silverdale Estate & Hurst Road
2023,E01009657,Coventry 018B,2.9,Wyken - Grange Road
2023,E01009711,Coventry 013D,2.9,Wyken Green - Croft
2023,E01009714,Coventry 018D,2.9,Wyken Croft – Sewall Highway South
2023,E01009625,Coventry 011C,2.89,Radford - Middlemarch Road South
2023,E01009627,Coventry 012C,2.89,Radford Village
2023,E01009628,Coventry 012D,2.89,Radford - Banks Road
2023,E01009630,Coventry 020B,2.89,Radford - Lawrence Saunders Roads
2023,E01009549,Coventry 037B,2.84,Cheylesmore - Humphrey Burtons
2023,E01009550,Coventry 037C,2.84,Cheylesmore N  - The Mount 
2023,E01009552,Coventry 037E,2.84,Cheylesmore - Quinton Park Ulverscroft
2023,E01009555,Coventry 034B,2.84,"Westwood Gardens - Sir Henry Parkes, Burnsall Roads"
2023,E01009562,Coventry 040C,2.84,Cheylesmore East -Dillotford Road 
2023,E01009579,Coventry 007B,2.84,Henley Green West
2023,E01009599,Coventry 013A,2.84,Henley College - Gresley Road
2023,E01009663,Coventry 013B,2.84,Wyken Croft North
2023,E01009709,Coventry 007F,2.84,Manor Farm 
2023,E01009577,Coventry 007A,2.83,Aldermans Green - Deedmore Road W
2023,E01009585,Coventry 007E,2.83,Wood End – Hillmorton Road
2023,E01009617,Coventry 027C,2.83,Binley Road - central Church Lane
2023,E01009618,Coventry 027D,2.83,Stoke - Lord Lytton Avenue
2023,E01009643,Coventry 017A,2.83,Holyhead Road  – Sherbourne Crescent
2023,E01009648,Coventry 017D,2.83,"Holyhead, Lake View & Batsford Roads"
2023,E01009649,Coventry 026A,2.83,Chapelfields - Prince of Wales Road
2023,E01034745,Coventry 035I,2.83,Copsewood
2023,E01009527,Coventry 006C,2.82,Keresley South - Kipling Road
2023,E01009529,Coventry 014B,2.82,"Coundon - Keresley Road, Wallace Road"
2023,E01009622,Coventry 012A,2.82,Radford - Beake Avenue South
2023,E01009623,Coventry 012B,2.82,Radford - Beak Avenue Central
2023,E01009624,Coventry 011B,2.82,Jubilee Crescent
2023,E01032530,Coventry 038F,2.82,Whitley East & Seven Stars
2023,E01009554,Coventry 034A,2.79,Earlsdon - Newcombe Clarendon & Shaftsbury Roads
2023,E01009687,Coventry 026E,2.79,Hearsall Common - Maudslay Road 
2023,E01009688,Coventry 030A,2.79,Chapelfields - Queensland Road
2023,E01009690,Coventry 030C,2.79,Hearsall Common – Highland Road
