AreaKey,Period,Value
E05000360,2019,11292
E05000361,2019,15062
E05000362,2019,12457
E05000363,2019,13346
E05000364,2019,14311
E05000365,2019,12023
E05000366,2019,13836
E05000367,2019,19660
E05000368,2019,16390
E05000369,2019,13064
E05000370,2019,13386
E05000371,2019,18208
E05000372,2019,13646
E05000373,2019,19041
E05000374,2019,12570
E05000375,2019,19787
E05000376,2019,13150
E05000377,2019,14476
E05000378,2019,12980
E05000379,2019,13553
E05000380,2019,14298
E05000381,2019,14422
E05000400,2019,9899
E05000401,2019,9830
E05000402,2019,11177
E05000403,2019,16048
E05000404,2019,9167
E05000405,2019,10409
E05000406,2019,12389
E05000407,2019,10372
E05000408,2019,13482
E05000409,2019,11732
E05000410,2019,9831
E05000411,2019,9329
E05000412,2019,12056
E05000413,2019,11131
E05000414,2019,10522
E05000415,2019,10133
E05000416,2019,13067
E05000417,2019,16787
E05000418,2019,13485
E05000419,2019,14526
E05000420,2019,17023
E05000421,2019,14764
E05000422,2019,14396
E05000423,2019,15896
E05000424,2019,16027
E05000425,2019,17638
E05000426,2019,17098
E05000427,2019,16425
E05000428,2019,17249
E05000429,2019,15246
E05000430,2019,15871
E05000431,2019,15295
E05000432,2019,16609
E05000433,2019,12876
E05000434,2019,14177
E05000435,2019,15882
E05000436,2019,15697
E05000437,2019,16242
E05000438,2019,15183
E05000439,2019,18626
E05000440,2019,16167
E05000441,2019,15700
E05000442,2019,15748
E05000443,2019,20578
E05000444,2019,16421
E05000445,2019,15426
E05000446,2019,14827
E05000447,2019,16332
E05000448,2019,23016
E05000449,2019,17629
E05000450,2019,16663
E05000451,2019,16923
E05000452,2019,16899
E05000453,2019,17504
E05000454,2019,15958
E05000455,2019,11057
E05000456,2019,9402
E05000457,2019,10855
E05000458,2019,11881
E05000459,2019,10136
E05000460,2019,11690
E05000461,2019,9991
E05000462,2019,9314
E05000463,2019,10934
E05000464,2019,10543
E05000465,2019,8935
E05000466,2019,9920
E05000467,2019,10933
E05000468,2019,10023
E05000469,2019,10033
E05000470,2019,10919
E05000471,2019,10234
E05000472,2019,8389
E05000473,2019,10052
E05000474,2019,11307
E05000475,2019,16452
E05000476,2019,17229
E05000477,2019,17640
E05000478,2019,21092
E05000479,2019,13534
E05000480,2019,17229
E05000481,2019,14956
E05000482,2019,16933
E05000483,2019,16487
E05000484,2019,18158
E05000485,2019,16613
E05000486,2019,14980
E05000487,2019,17808
E05000488,2019,15694
E05000489,2019,16005
E05000490,2019,18008
E05000491,2019,16414
E05000492,2019,36666
E05000493,2019,15172
E05000494,2019,16064
E05000516,2019,10121
E05000517,2019,10691
E05000518,2019,10707
E05000519,2019,11177
E05000520,2019,10316
E05000521,2019,9470
E05000522,2019,11431
E05000523,2019,10791
E05000524,2019,12040
E05000525,2019,11605
E05000526,2019,11940
E05000527,2019,12011
E05000528,2019,12208
E05000529,2019,10263
E05000530,2019,10790
E05000531,2019,11313
E05000532,2019,11088
E05000533,2019,10057
E05000555,2019,10870
E05000556,2019,11261
E05000557,2019,10645
E05000558,2019,10847
E05000559,2019,10586
E05000560,2019,10677
E05000561,2019,10895
E05000562,2019,12727
E05000563,2019,10918
E05000564,2019,13152
E05000565,2019,11364
E05000566,2019,10845
E05000567,2019,11096
E05000568,2019,11187
E05000569,2019,11845
E05000570,2019,11219
E05000571,2019,12741
E05000572,2019,13474
E05000590,2019,14427
E05000591,2019,13112
E05000592,2019,15245
E05000593,2019,10551
E05000594,2019,10957
E05000595,2019,13196
E05000596,2019,16047
E05000597,2019,12714
E05000598,2019,11661
E05000599,2019,14904
E05000600,2019,15642
E05000601,2019,14727
E05000602,2019,12745
E05000603,2019,16459
E05000604,2019,15733
E05000605,2019,13961
E05000606,2019,13995
E05000607,2019,12558
E05000608,2019,14367
E05000609,2019,13982
E05000610,2019,15948
E05000611,2019,13826
E05000612,2019,16405
E05000613,2019,16218
E05000614,2019,15668
E05000615,2019,17039
E05000616,2019,15645
E05000617,2019,16308
E05000618,2019,14634
E05000619,2019,16733
E05000620,2019,20397
E05000621,2019,17423
E05000622,2019,19473
E05000623,2019,15645
E05000624,2019,17296
E05000625,2019,16349
E05000626,2019,16518
E05000627,2019,15473
E05000628,2019,16482
E05000629,2019,16197
E05000630,2019,14944
E05000631,2019,11957
E05000632,2019,14671
E05000633,2019,11071
E05000634,2019,13146
E05000635,2019,12963
E05000636,2019,15076
E05000637,2019,11746
E05000638,2019,15567
E05000639,2019,12369
E05000640,2019,11210
E05000641,2019,13479
E05000642,2019,13639
E05000643,2019,15927
E05000644,2019,12535
E05000645,2019,9765
E05000646,2019,12509
E05000647,2019,10540
E05000648,2019,14624
E05000649,2019,13579
