Address,Postcode,Type,Status,Source,lat,long,Description
916 FOLESHILL ROAD CV6 6GS,CV6 6GS,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.440613,-1.490726,
8 STLES WHEELWRIGHT BUILDINGS HEN LANE CV6 4HF,CV6 4HF,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.446217,-1.510356,
23 BENNETTS ROAD SOUTH CV6 2FN,CV6 2FN,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.44066,-1.532219,
102A HILLMORTON ROAD CV2 1FW,CV2 1FW,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.438748,-1.463166,
107 PROFFITT AVENUE CV6 7ES,CV6 7ES,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.437894,-1.483337,
2 OLD CHURCH ROAD CV6 7BY,CV6 7BY,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.437461,-1.476649,
1 HALL GREEN ROAD CV6 7BX,CV6 7BX,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.437317,-1.474724,
650 FOLESHILL ROAD CV6 5HR,CV6 5HR,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.436885,-1.493101,
64 HOLBROOK LANE CV6 4AB,CV6 4AB,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.434373,-1.505199,
KFC OLIVIER WAY CV2 2SZ,CV2 2SZ,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.434706,-1.429171,
24 JUBILEE CRESCENT CV6 3ET,CV6 3ET,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.43129,-1.516396,
30 JUBILEE CRESCENT CV6 3ET,CV6 3ET,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.43129,-1.516396,
42-44 JUBILEE CRESCENT CV6 3ET,CV6 3ET,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.43129,-1.516396,
143 HINCKLEY ROAD CV2 2QN,CV2 2QN,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.430124,-1.439231,
120-124 HINCKLEY ROAD CV2 2EU,CV2 2EU,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.428373,-1.439739,
168-170 LOCKHURST LANE CV6 5NY,CV6 5NY,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.42832,-1.502575,
UNIT 5 ASDA SHOPPING CENTRE BRADE DRIVE CV2 2QZ,CV2 2QZ,Commercial - Retail - Markets (indoor and outdoor),,LLPG-BLPU-20200709,52.428973,-1.433414,
UNIT 4 ASDA SHOPPING CENTRE BRADE DRIVE CV2 2QZ,CV2 2QZ,Commercial - Retail - Markets (indoor and outdoor),,LLPG-BLPU-20200709,52.428973,-1.433414,
142 WOODWAY LANE CV2 2EJ,CV2 2EJ,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.428428,-1.445665,
616-620 SEWALL HIGHWAY CV6 7JF,CV6 7JF,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.428276,-1.477316,
422 H S B C BANK FOLESHILL ROAD CV6 5JX,CV6 5JX,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.429767,-1.498058,
535-539 FOLESHILL ROAD CV6 5AU,CV6 5AU,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.428865,-1.499341,
