LSOA,IMD rank,IMD decile,IDACI rank,IDACI decile,IDAOPI rank,IDAOPI decile
E01014664,"6,979",3,"12,536",4,"6,094",2
E01014665,"13,351",5,"15,144",5,"16,780",6
E01014666,"30,477",10,"31,864",10,"19,780",7
E01014667,"30,062",10,"31,110",10,"28,009",9
E01014668,"27,824",9,"31,593",10,"23,999",8
E01014669,"26,645",9,"31,429",10,"23,095",8
E01014670,"21,086",7,"32,617",10,"22,623",7
E01014671,"16,268",5,"31,063",10,"11,711",4
E01014672,"24,618",8,"26,146",8,"18,028",6
E01014673,"8,667",3,"14,696",5,"6,165",2
E01014674,"8,933",3,"8,108",3,"13,914",5
E01014675,"13,783",5,"15,326",5,"12,304",4
E01014676,"11,238",4,"16,108",5,"10,580",4
E01014677,"19,709",7,"16,829",6,"21,299",7
E01014678,"13,932",5,"16,004",5,"16,510",6
E01014679,"16,600",6,"16,801",6,"16,890",6
E01014680,"19,981",7,"25,697",8,"22,715",7
E01014681,"11,208",4,"15,504",5,"7,413",3
E01014682,"7,789",3,"9,926",4,"13,482",5
E01014683,"6,245",2,"7,431",3,"3,384",2
E01014684,"7,821",3,"13,242",5,"13,021",4
E01014685,"4,560",2,"4,981",2,"4,989",2
E01014686,"10,698",4,"16,529",6,"11,115",4
E01014687,"8,389",3,"15,081",5,"8,480",3
E01014688,"2,480",1,"2,241",1,"6,294",2
E01014689,613,1,"1,691",1,"1,638",1
E01014690,"7,419",3,"12,978",4,"3,830",2
E01014691,"5,368",2,"9,705",3,"9,292",3
E01014692,"4,677",2,"6,466",2,"7,017",3
E01014693,"23,312",8,"17,127",6,"24,094",8
E01014694,"4,996",2,"9,553",3,"5,861",2
E01014695,"8,839",3,"13,649",5,"4,491",2
E01014696,"26,803",9,"26,775",9,"19,722",7
E01014698,"22,763",7,"25,492",8,"7,011",3
E01014699,"10,787",4,"15,069",5,"7,063",3
E01014700,"25,217",8,"32,574",10,"28,169",9
E01014701,"19,457",6,"23,124",8,"11,098",4
E01014702,"20,740",7,"21,426",7,"23,746",8
E01014703,"2,246",1,"4,732",2,"12,028",4
E01014704,"11,746",4,"8,930",3,"22,136",7
E01014705,"23,920",8,"29,005",9,"18,256",6
E01014706,"2,676",1,"8,483",3,"3,804",2
E01014707,"14,910",5,"10,926",4,"25,357",8
E01014708,"15,316",5,"19,870",7,"18,985",6
E01014709,"22,851",7,"32,258",10,"30,898",10
E01014710,"29,847",10,"32,210",10,"31,983",10
E01014711,"30,805",10,"31,442",10,"32,103",10
E01014712,"22,463",7,"18,891",6,"21,036",7
E01014713,"30,769",10,"21,447",7,"31,020",10
E01014714,"30,599",10,"32,666",10,"30,471",10
E01014715,"31,914",10,"32,024",10,"27,523",9
E01014716,"31,522",10,"30,180",10,"30,966",10
E01014717,"31,704",10,"32,748",10,"28,617",9
E01014718,"30,787",10,"31,682",10,"30,394",10
E01014719,"26,487",9,"30,482",10,"23,358",8
E01014720,"14,010",5,"15,931",5,"10,733",4
E01014721,"24,058",8,"30,680",10,"17,183",6
E01014722,"22,322",7,"15,637",5,"25,736",8
E01014723,"23,169",8,"21,499",7,"26,970",9
E01014725,"27,319",9,"26,088",8,"31,746",10
E01014726,91,1,143,1,"1,711",1
E01014727,226,1,115,1,"5,523",2
E01014729,"2,892",1,"1,508",1,"3,966",2
E01014730,"8,845",3,"14,390",5,"4,018",2
E01014731,"11,426",4,"10,632",4,"5,439",2
