pcds,term,usertype,oa21,lsoa11,lsoa21,lsoa21_onsname,lsoa21_name,imd_decile,msoa21,msoa21_onsname,msoa21_name,ward,ward_name,pcon,pcon_name
CV5 9DP,0,0,E00048241,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9DQ,0,1,E00185080,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9DR,1,1,E00048241,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9DS,0,0,E00048205,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9DT,0,0,E00048205,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9DU,0,0,E00048224,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9DW,0,0,E00048224,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9DX,0,0,E00048205,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9DY,0,0,E00185073,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9DZ,0,0,E00048224,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EA,0,0,E00048224,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EB,0,0,E00185073,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9ED,0,0,E00185073,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EE,0,0,E00048251,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EF,0,0,E00048251,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EG,0,0,E00048251,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EH,0,0,E00048251,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EJ,0,0,E00048249,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EL,0,0,E00048249,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EN,0,0,E00048249,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EP,0,0,E00048249,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EQ,0,0,E00048241,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9ER,0,0,E00048241,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9ES,0,0,E00048241,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9ET,0,0,E00048241,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EU,0,0,E00048235,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EW,0,0,E00048241,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EX,0,0,E00048235,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EY,0,0,E00048235,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9EZ,0,0,E00048235,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FA,0,0,E00048241,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FB,0,0,E00048235,E01009526,E01009526,Coventry 010B,Coundon Wedge,7,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FD,0,0,E00048239,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FE,0,0,E00048205,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FF,0,0,E00048224,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FG,0,0,E00048224,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FH,0,0,E00048253,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
